"","c...106.079272..35.032347.....106.068962..35.027495.....106.538399..35.192296..."
"621","-106.52965, 36.72666"
"622","-106.051998, 35.999031"
"623","-106.673227, 34.828086"
"624","-106.673219, 34.828336"
"625","-106.673041, 34.828133"
"626","-106.673227, 34.828086"
"627","-106.6738, 34.82839"
"628","-106.418869, 35.301321"
"629","-106.419722, 35.302058"
"630","-106.477572, 35.316572"
"631","-106.481749, 35.319503"
"632","-106.477638, 35.31675"
"633","-106.105523, 36.008606"
"634","-106.05833, 36.020833"
"635","-106.051543, 35.999272"
"636","-106.044661, 36.000145"
"637","-106.062224, 36.016895"
"638","-106.04556, 36.008889"
"639","-106.097805, 36.011083"
"640","-106.052079, 35.999031"
"641","-106.052079, 35.999031"
"642","-106.105579, 36.008523"
"643","-106.096992, 36.01099"
"644","-106.110523, 36.007523"
"645","-106.04556, 36.008889"
"646","-106.037219, 36.013154"
"647","-106.038466, 36.01355"
"648","-106.046856, 36.000024"
"649","-106.037708, 36.013475"
"650","-106.080023, 36.01755"
"651","-106.839058, 36.233833"
"652","-106.837386, 36.230878"
"653","-106.04096, 36.38852"
"654","-106.04096, 36.38852"
"655","-106.039722, 36.388611"
"656","-106.038222, 36.388557"
"657","-106.041, 36.388557"
"658","-106.60841, 36.69855"
"659","-107.04655, 36.31181"
"660","-107.045876, 36.304185"
"661","-106.131388, 36.044361"
"662","-106.134277, 36.043527"
"663","-105.95547, 36.016203"
"664","-105.865, 36.195583"
"665","-106.936673, 36.978702"
"666","-106.936673, 36.978702"
"667","-106.567979, 36.728286"
"668","-106.56808, 36.72826"
"669","-106.56435, 36.72412"
"670","-106.56808, 36.72826"
"671","-106.173455, 36.334341"
"672","-106.169818, 36.335127"
"673","-106.173433, 36.334397"
"674","-106.170398, 36.335146"
"675","-106.170394, 36.335205"
"676","-106.048633, 36.242216"
"677","-106.052244, 36.303354"
"678","-106.053297, 36.269167"
"679","-106.053297, 36.269167"
"680","-106.551979, 36.700672"
"681","-106.607659, 35.113293"
"682","-106.549468, 35.131377"
"683","-106.543746, 35.130322"
"684","-106.554276, 35.137687"
"685","-106.545272, 35.136851"
"686","-106.560311, 35.128891"
"687","-106.551559, 35.122238"
"688","-106.561302, 35.119892"
"689","-106.597168, 35.134631"
"690","-106.584496, 35.125405"
"691","-106.604944, 35.127986"
"692","-106.587357, 35.134212"
"693","-106.603105, 35.134631"
"694","-106.590973, 35.140685"
"695","-106.729221, 35.159662"
"696","-106.728542, 35.153254"
"697","-106.729686, 35.166723"
"698","-106.528464, 35.174074"
"699","-106.537255, 35.173227"
"700","-106.555031, 35.175322"
"701","-106.560127, 35.170172"
"702","-106.738826, 35.074543"
"703","-106.732669, 35.085602"
"704","-106.732364, 35.078934"
"705","-106.722811, 35.080036"
"706","-106.624519, 35.073724"
"707","-106.625168, 35.066102"
"708","-106.633783, 35.076379"
"709","-106.742778, 35.112778"
"710","-106.676389, 35.112222"
"711","-106.664444, 35.139722"
"712","-106.73, 35.052778"
"713","-106.520278, 35.130278"
"714","-106.646944, 35.054444"
"715","-106.596944, 35.134722"
"716","-106.67554, 35.249113"
"717","-106.669273, 35.261498"
"718","-106.775783, 35.555973"
"719","-106.774497, 35.5559"
"720","-106.805658, 35.556654"
"721","-106.772127, 35.55659"
"722","-106.772127, 35.55659"
"723","-106.805658, 35.556654"
"724","-107.99235, 36.03839"
"725","-107.909302, 36.920559"
"726","-107.99242, 36.83745"
"727","-107.97749, 36.83576"
"728","-108.00502, 36.8116"
"729","-108.05242, 36.79987"
"730","-108.051667, 36.799167"
"731","-106.665582, 35.178654"
"732","-103.319205, 34.410869"
"733","-103.31445, 34.408887"
"734","-103.3175, 34.406667"
"735","-106.601149, 32.024514"
"736","-106.598576, 32.024102"
"737","-106.615278, 32.046944"
"738","-106.615124, 32.046668"
"739","-108.217444, 35.406583"
"740","-108.2478, 35.422361"
"741","-108.217444, 35.406583"
"742","-108.24763, 35.42232"
"743","-108.24763, 35.42232"
"744","-108.217444, 35.406583"
"745","-106.529031, 35.320779"
"746","-106.536889, 35.302793"
"747","-106.582221, 35.337361"
"748","-106.575884, 35.319627"
"749","-106.528444, 35.320722"
"750","-105.568835, 33.345218"
"751","-105.569583, 33.346083"
"752","-107.787808, 32.332864"
"753","-107.786124, 32.327196"
"754","-107.786773, 32.334736"
"755","-107.786772, 32.334284"
"756","-105.130369, 36.059691"
"757","-105.12981, 36.059654"
"758","-105.130444, 36.059653"
"759","-105.13039, 36.059638"
"760","-105.13032, 36.05975"
"761","-105.749874, 32.936426"
"762","-103.737561, 35.186483"
"763","-106.606333, 35.246888"
"764","-106.605982, 35.246693"
"765","-106.605753, 35.246738"
"766","-108.061388, 36.791666"
"767","-108.076355, 36.791694"
"768","-108.07637, 36.79197"
"769","-108.07639, 36.79219"
"770","-108.07669, 36.79134"
"771","-106.603224, 32.001135"
"772","-106.592879, 32.008261"
"773","-106.602797, 32.018723"
"774","-106.604117, 32.027512"
"775","-106.604117, 32.027512"
"776","-106.58676, 32.001322"
"777","-106.602927, 32.018921"
"778","-106.603427, 32.001322"
"779","-106.602927, 32.018921"
"780","-106.593702, 32.001444"
"781","-106.592879, 32.008261"
"782","-106.590124, 32.003099"
"783","-106.582234, 32.021307"
"784","-106.578327, 32.011489"
"785","-106.728831, 35.030672"
"786","-105.678805, 35.723111"
"787","-105.678675, 35.723149"
"788","-106.174194, 35.0525"
"789","-106.173888, 35.051694"
"790","-106.173813, 35.051705"
"791","-106.607311, 32.042225"
"792","-106.72136, 35.008318"
"793","-106.720873, 35.007717"
"794","-106.793221, 32.33373"
"795","-106.793228, 32.333942"
"796","-106.793228, 32.333942"
"797","-104.820405, 35.07055"
"798","-104.81883, 35.070233"
"799","-104.716636, 34.948583"
"800","-105.561948, 33.34776"
"801","-105.563611, 33.348111"
"802","-108.102472, 35.308277"
"803","-108.101438, 35.306114"
"804","-108.101444, 35.306138"
"805","-108.102472, 35.308277"
"806","-105.013027, 35.9"
"807","-105.013586, 35.90004"
"808","-105.656111, 32.882444"
"809","-105.656147, 32.882365"
"810","-103.728681, 35.186467"
"811","-107.974201, 36.718641"
"812","-105.682519, 35.707663"
"813","-105.680787, 35.712847"
"814","-106.724394, 34.999427"
"815","-106.729193, 34.998938"
"816","-106.72428, 34.998438"
"817","-106.724308, 34.998495"
"818","-105.273305, 36.547833"
"819","-106.789271, 32.330488"
"820","-107.935995, 32.816445"
"821","-107.937313, 32.811586"
"822","-107.751694, 32.202497"
"823","-107.466715, 35.926408"
"824","-107.46616, 35.926408"
"825","-105.197827, 35.986965"
"826","-105.540611, 32.907666"
"827","-105.541722, 32.911333"
"828","-103.905566, 34.645258"
"829","-103.905577, 34.645197"
"830","-106.004305, 36.141361"
"831","-106.004305, 36.141361"
"832","-108.19067, 36.72602"
"833","-108.10279, 36.78305"
"834","-108.09698, 36.80188"
"835","-108.205128, 36.740428"
"836","-108.14888, 36.77073"
"837","-105.565611, 35.453238"
"838","-105.564619, 35.449893"
"839","-105.56585, 35.451708"
"840","-105.56585, 35.451708"
"841","-105.565611, 35.453238"
"842","-105.564619, 35.449893"
"843","-105.574916, 36.412222"
"844","-105.5745, 36.413055"
"845","-105.575972, 36.412166"
"846","-105.407722, 36.411527"
"847","-105.314722, 36.422888"
"848","-105.969125, 32.947311"
"849","-105.968894, 32.946558"
"850","-106.314087, 35.477033"
"851","-106.318447, 35.480463"
"852","-106.317963, 35.480366"
"853","-106.314087, 35.477033"
"854","-108.249242, 36.73139"
"855","-108.31425, 36.731586"
"856","-108.3181, 36.73588"
"857","-105.587361, 36.385901"
"858","-105.587194, 36.385722"
"859","-105.586805, 36.386194"
"860","-105.587194, 36.385722"
"861","-105.587372, 36.38622"
"862","-108.131731, 35.27281"
"863","-108.127277, 35.271972"
"864","-108.131731, 35.27281"
"865","-108.127277, 35.271972"
"866","-104.361513, 33.087675"
"867","-104.361475, 33.087786"
"868","-106.662498, 32.406627"
"869","-106.66236, 32.406303"
