"","c...106.079272..35.032347.....106.068962..35.027495.....106.538399..35.192296..."
"4732","-105.546138, 32.911583"
"4733","-105.252462, 36.547681"
"4734","-105.981111, 32.995833"
"4735","-104.498159, 33.393616"
"4736","-105.193614, 36.771809"
"4737","-105.204444, 36.769444"
"4738","-105.717738, 33.366008"
"4739","-105.978028, 33.087278"
"4740","-106.62383, 35.217208"
"4741","-104.449183, 33.323663"
"4742","-105.969125, 32.947311"
"4743","-106.725063, 32.149167"
"4744","-105.968894, 32.946558"
"4745","-105.61525, 32.930416"
"4746","-104.609939, 34.856661"
"4747","-104.609939, 34.856661"
"4748","-103.31887, 34.410843"
"4749","-103.313942, 34.40881"
"4750","-103.319205, 34.410869"
"4751","-105.489681, 35.407811"
"4752","-105.888076, 35.911137"
"4753","-106.835389, 34.420028"
"4754","-106.835367, 34.420028"
"4755","-106.041439, 35.013605"
"4756","-106.581419, 32.007761"
"4757","-107.932421, 32.80187"
"4758","-107.932421, 32.80187"
"4759","-105.593805, 36.371461"
"4760","-103.312512, 34.376046"
"4761","-103.312512, 34.376046"
"4762","-106.706333, 32.11925"
"4763","-104.379861, 32.636972"
"4764","-103.50772, 32.811234"
"4765","-108.777222, 35.608611"
"4766","-105.981494, 35.148074"
"4767","-106.464528, 35.380722"
"4768","-105.43068, 35.639095"
"4769","-106.018194, 35.886972"
"4770","-105.550902, 36.155028"
"4771","-105.550975, 36.155036"
"4772","-106.806983, 32.29202"
"4773","-105.431288, 35.31399"
"4774","-105.431288, 35.31399"
"4775","-105.452305, 36.925743"
"4776","-103.876632, 36.682914"
"4777","-103.301569, 32.715061"
"4778","-103.324988, 32.718611"
"4779","-103.342119, 32.718638"
"4780","-106.384083, 32.031028"
"4781","-106.372222, 32.048764"
"4782","-106.385944, 32.009194"
"4783","-106.385944, 32.009194"
"4784","-106.368944, 32.016194"
"4785","-106.368889, 32.016194"
"4786","-106.384083, 32.031028"
"4787","-106.698806, 32.162694"
"4788","-106.16196, 35.83627"
"4789","-106.693128, 32.165236"
"4790","-106.07954, 35.69682"
"4791","-106.6467, 32.138233"
"4792","-106.6467, 32.138233"
"4793","-106.316111, 35.158636"
"4794","-106.642944, 32.111547"
"4795","-106.670667, 32.166242"
"4796","-106.687425, 32.165383"
"4797","-105.936194, 32.930111"
"4798","-105.936042, 32.930361"
"4799","-104.79058, 34.97073"
"4800","-104.778461, 34.974344"
"4801","-106.707716, 32.123041"
"4802","-108.577222, 32.962556"
"4803","-107.944398, 32.813472"
"4804","-107.944398, 32.813472"
"4805","-107.944398, 32.813472"
"4806","-108.19356, 32.77694"
"4807","-108.193457, 32.775617"
"4808","-103.318489, 34.869255"
"4809","-108.193578, 32.776962"
"4810","-108.192348, 32.779219"
"4811","-103.126165, 32.900516"
"4812","-103.126165, 32.900516"
"4813","-103.126165, 32.900516"
"4814","-103.128592, 32.740474"
"4815","-106.64018, 32.40854"
"4816","-106.64043, 32.40847"
"4817","-106.646937, 32.408053"
"4818","-106.64027, 32.408189"
"4819","-106.640221, 32.408383"
"4820","-103.319041, 34.40765"
"4821","-105.357457, 35.920479"
"4822","-108.953007, 32.232884"
"4823","-108.953007, 32.232884"
"4824","-108.953007, 32.953007"
"4825","-107.638503, 32.826305"
"4826","-106.845036, 32.253437"
"4827","-106.60461, 32.42383"
"4828","-106.59534, 32.42742"
"4829","-106.59535, 32.42737"
"4830","-106.59539, 32.42728"
"4831","-106.596279, 32.425462"
"4832","-103.149028, 34.313892"
"4833","-106.799271, 32.331618"
"4834","-103.150186, 34.306722"
"4835","-103.798933, 35.148427"
"4836","-103.156642, 34.337603"
"4837","-103.147714, 34.337531"
"4838","-103.733933, 35.186175"
"4839","-104.412194, 32.879833"
"4840","-104.416583, 32.930111"
"4841","-104.412277, 32.879944"
"4842","-104.416694, 32.930111"
"4843","-106.719053, 32.277554"
"4844","-106.719053, 32.277554"
"4845","-106.633117, 31.918275"
"4846","-104.285098, 32.827835"
"4847","-104.285071, 32.827696"
"4848","-103.773458, 35.235613"
"4849","-103.330694, 35.110192"
"4850","-103.330694, 35.110192"
"4851","-103.331464, 35.165678"
"4852","-104.716458, 34.948319"
"4853","-104.659091, 34.945416"
"4854","-104.683508, 34.942536"
"4855","-103.914455, 34.645572"
"4856","-103.905577, 34.645197"
"4857","-106.231569, 36.374916"
"4858","-105.587953, 33.326189"
"4859","-105.587952, 33.326169"
"4860","-105.587952, 33.326188"
"4861","-105.607222, 33.322117"
"4862","-105.587953, 33.326189"
"4863","-105.591936, 33.331775"
"4864","-103.285005, 34.22183"
"4865","-103.285188, 34.221872"
"4866","-103.335475, 34.193155"
"4867","-103.343855, 34.17283"
"4868","-103.405425, 34.148032"
"4869","-103.288283, 34.403497"
"4870","-103.197416, 32.114027"
"4871","-103.304027, 32.031222"
"4872","-103.206055, 32.119527"
"4873","-103.304138, 32.031305"
"4874","-103.303833, 32.031305"
"4875","-103.202305, 32.107083"
"4876","-103.163305, 32.445277"
"4877","-103.163869, 32.445382"
"4878","-103.163889, 32.437028"
"4879","-103.163944, 32.437139"
"4880","-103.163833, 32.437056"
"4881","-103.16375, 32.437083"
"4882","-103.16375, 32.436916"
"4883","-106.782112, 32.323502"
"4884","-103.196916, 32.703472"
"4885","-106.782112, 32.323502"
"4886","-103.19675, 32.703472"
"4887","-103.197222, 32.678528"
"4888","-106.782112, 32.323502"
"4889","-106.653638, 35.222222"
"4890","-108.147971, 32.749705"
"4891","-108.138476, 32.763236"
"4892","-104.448908, 33.323725"
"4893","-108.138476, 32.763236"
"4894","-104.578425, 33.45243"
"4895","-104.448556, 33.323272"
"4896","-108.085212, 32.857051"
"4897","-107.672681, 31.84624"
"4898","-107.672841, 31.846339"
"4899","-107.640291, 31.788507"
"4900","-107.244019, 33.182722"
"4901","-107.244019, 33.182722"
"4902","-106.720043, 35.031111"
"4903","-107.994864, 32.554817"
"4904","-107.994864, 32.554817"
"4905","-107.994864, 32.554817"
"4906","-107.994864, 32.554817"
"4907","-107.994864, 32.554817"
"4908","-107.994864, 32.554817"
"4909","-107.994864, 32.554817"
"4910","-107.994864, 32.554817"
"4911","-106.682806, 32.402528"
"4912","-106.683333, 32.388611"
"4913","-106.683333, 32.388611"
"4914","-106.683333, 32.388611"
"4915","-106.683333, 32.388611"
"4916","-106.682806, 32.402528"
"4917","-106.923228, 32.480562"
"4918","-106.78633, 32.333679"
"4919","-106.873157, 32.480575"
"4920","-107.219203, 33.182764"
"4921","-107.219203, 33.182764"
"4922","-107.229381, 33.203464"
"4923","-107.229381, 33.203464"
"4924","-107.034131, 32.69218"
"4925","-106.67492, 31.788749"
"4926","-106.675296, 31.788729"
"4927","-107.286875, 33.121772"
"4928","-107.270117, 33.131846"
"4929","-107.258844, 33.156855"
"4930","-106.853333, 32.286944"
"4931","-106.855911, 32.287102"
"4932","-106.855556, 32.286944"
"4933","-107.572349, 32.920195"
"4934","-107.567112, 32.925725"
"4935","-107.567112, 32.925725"
"4936","-108.657018, 32.341641"
"4937","-108.146389, 33.026667"
"4938","-107.769003, 32.268163"
"4939","-107.747017, 32.254367"
"4940","-108.550172, 31.912753"
"4941","-108.210448, 32.800708"
"4942","-106.586736, 32.523103"
"4943","-106.586746, 32.523103"
"4944","-106.498417, 35.1605"
"4945","-106.694028, 34.819583"
"4946","-106.771416, 34.694502"
"4947","-106.664527, 34.771472"
"4948","-108.86028, 35.63704"
"4949","-108.964222, 35.634611"
"4950","-108.871202, 35.496868"
"4951","-108.878333, 35.495278"
"4952","-106.780666, 34.725194"
"4953","-106.724424, 34.998505"
"4954","-108.330755, 32.712165"
"4955","-108.369125, 32.752226"
"4956","-108.330383, 32.711773"
"4957","-108.282456, 32.760909"
"4958","-108.264664, 32.808414"
"4959","-108.264664, 32.808414"
"4960","-108.248585, 32.824402"
"4961","-108.225797, 32.859081"
"4962","-106.441146, 32.036717"
"4963","-106.641243, 31.90995"
"4964","-106.634167, 31.911111"
"4965","-106.78835, 32.338538"
"4966","-106.589443, 32.32934"
"4967","-107.359828, 33.122201"
"4968","-106.49155, 32.068919"
"4969","-106.798833, 32.400556"
"4970","-106.75931, 32.270553"
"4971","-106.677222, 32.062222"
"4972","-106.789244, 32.330488"
"4973","-107.207861, 33.179777"
"4974","-106.904769, 32.503328"
"4975","-106.89942, 32.498524"
"4976","-106.742783, 32.254272"
"4977","-106.742783, 32.254272"
"4978","-106.698194, 31.956555"
"4979","-106.645033, 31.955097"
"4980","-107.2217, 33.20456"
"4981","-107.221667, 32.204444"
"4982","-107.215278, 33.205833"
"4983","-107.215128, 33.205839"
"4984","-106.791389, 32.334444"
"4985","-106.792717, 32.332864"
"4986","-106.789298, 32.335104"
"4987","-106.793333, 32.332778"
"4988","-106.812843, 32.355316"
"4989","-106.7075, 32.389722"
"4990","-106.7075, 32.389722"
"4991","-106.7075, 32.389722"
"4992","-106.707222, 32.3975"
"4993","-106.707222, 32.3975"
"4994","-106.707222, 32.397778"
"4995","-106.707222, 32.397778"
"4996","-106.707222, 32.397778"
"4997","-106.707222, 32.397778"
"4998","-106.7075, 32.400556"
"4999","-106.7075, 32.400556"
"5000","-106.7075, 32.400556"
"5001","-106.7075, 32.400556"
"5002","-103.738302, 35.160858"
"5003","-103.735413, 35.148308"
"5004","-103.741102, 34.140597"
"5005","-103.72985, 35.177991"
"5006","-103.738302, 35.160858"
"5007","-103.735413, 35.148308"
"5008","-103.72985, 35.177991"
"5009","-106.651895, 32.023521"
"5010","-105.641056, 33.379583"
"5011","-106.731458, 32.155711"
"5012","-108.298497, 32.72252"
"5013","-108.298497, 32.72252"
"5014","-108.298497, 32.72252"
"5015","-105.751, 32.919805"
"5016","-103.186764, 34.51465"
"5017","-103.178333, 34.506764"
"5018","-103.179397, 34.514458"
"5019","-103.195458, 34.521431"
"5020","-103.195458, 34.521431"
"5021","-103.7867, 34.293963"
"5022","-103.7867, 34.293963"
"5023","-103.81698, 34.28788"
"5024","-103.079472, 34.390722"
"5025","-103.07963, 34.390819"
"5026","-103.07963, 34.390819"
"5027","-105.703694, 32.949611"
"5028","-105.703666, 32.948972"
"5029","-105.703527, 32.948416"
"5030","-105.703777, 32.94425"
"5031","-105.70325, 32.944555"
"5032","-105.703111, 32.945111"
"5033","-105.703361, 32.947972"
"5034","-106.782112, 32.323502"
"5035","-103.197278, 32.6785"
"5036","-106.782112, 32.323502"
"5037","-103.166694, 32.590972"
"5038","-103.166396, 32.590835"
"5039","-103.196944, 32.703277"
"5040","-106.782112, 32.323502"
"5041","-103.196944, 32.703277"
"5042","-103.166638, 32.591055"
"5043","-103.164028, 32.437194"
"5044","-103.163472, 32.445138"
"5045","-106.761905, 32.299427"
"5046","-106.761905, 32.299427"
"5047","-106.761905, 32.299427"
"5048","-106.859988, 32.291456"
"5049","-106.859371, 32.291081"
"5050","-104.276527, 32.424777"
"5051","-104.2765, 32.42475"
"5052","-104.276305, 32.424944"
"5053","-104.276305, 32.424861"
"5054","-106.685777, 36.384111"
"5055","-105.100449, 36.549812"
"5056","-105.897798, 35.956969"
"5057","-106.224368, 36.373996"
"5058","-106.092527, 35.457888"
"5059","-106.908652, 36.977789"
"5060","-107.67799, 36.808"
"5061","-106.60841, 36.69855"
"5062","-106.772066, 35.556663"
"5063","-106.112916, 36.495305"
"5064","-109.000209, 32.691896"
"5065","-106.610836, 32.144547"
"5066","-103.188333, 32.7675"
"5067","-105.535237, 33.468367"
"5068","-104.239208, 35.069862"
"5069","-104.23895, 35.069431"
"5070","-104.238364, 35.067526"
"5071","-105.534444, 33.468056"
"5072","-105.534444, 33.468056"
"5073","-105.534444, 33.468056"
"5074","-105.534444, 33.468056"
"5075","-105.534444, 33.468056"
"5076","-105.534444, 33.468056"
"5077","-104.481953, 33.330317"
"5078","-104.481964, 33.329844"
"5079","-104.481638, 33.330027"
"5080","-104.481964, 33.329844"
"5081","-104.57425, 33.393166"
"5082","-104.396155, 34.612411"
"5083","-104.396155, 34.612411"
"5084","-104.376361, 34.61425"
"5085","-104.373816, 34.613488"
"5086","-103.653147, 33.944822"
"5087","-104.459122, 33.217316"
"5088","-103.583302, 33.848141"
"5089","-103.583311, 33.84808"
"5090","-103.649713, 33.928502"
"5091","-107.750026, 32.202497"
"5092","-106.835097, 32.299058"
"5093","-107.831696, 32.300164"
"5094","-106.284167, 32.067056"
"5095","-108.226627, 32.843911"
"5096","-104.379833, 32.636972"
"5097","-106.498417, 35.1605"
"5098","-106.919583, 34.067305"
"5099","-106.909278, 34.049806"
"5100","-106.932888, 34.042583"
"5101","-106.926639, 34.024833"
"5102","-105.653389, 32.961889"
"5103","-106.793228, 32.333942"
"5104","-106.793228, 32.333942"
"5105","-106.365428, 35.128942"
"5106","-107.759199, 32.313566"
"5107","-106.693306, 34.819778"
"5108","-106.693278, 34.819611"
"5109","-106.106578, 35.445287"
"5110","-106.127555, 35.435222"
"5111","-103.288283, 34.403497"
"5112","-106.688087, 32.395445"
"5113","-103.113167, 32.701139"
"5114","-106.803028, 32.320194"
"5115","-106.801917, 32.321722"
"5116","-103.452861, 32.795722"
"5117","-103.452666, 32.795722"
"5118","-106.772333, 34.447416"
"5119","-106.625027, 35.217666"
"5120","-104.253258, 32.199742"
"5121","-106.729583, 34.968806"
"5122","-106.729583, 34.968806"
"5123","-106.632195, 35.160041"
"5124","-106.632194, 35.16004"
"5125","-106.53792, 35.186526"
"5126","-105.587952, 33.326188"
"5127","-106.373748, 35.088909"
"5128","-104.379833, 32.636972"
"5129","-103.28275, 32.514222"
"5130","-105.981047, 32.807615"
"5131","-103.299558, 32.660369"
"5132","-106.382088, 35.079863"
"5133","-103.282661, 32.514477"
"5134","-106.370815, 35.087775"
"5135","-106.352111, 35.099"
"5136","-107.687778, 36.8075"
"5137","-106.609926, 35.194769"
"5138","-106.471444, 35.166444"
"5139","-107.905611, 35.203861"
"5140","-106.359943, 35.118693"
"5141","-106.359943, 35.118693"
"5142","-107.855163, 35.161972"
"5143","-106.502341, 35.175075"
"5144","-106.502472, 35.174944"
"5145","-106.513777, 35.193222"
"5146","-107.013913, 35.193103"
"5147","-104.216533, 35.370358"
"5148","-105.914333, 35.005778"
"5149","-104.190019, 35.430069"
"5150","-104.191922, 35.407728"
"5151","-104.192933, 35.407867"
"5152","-104.191922, 35.407728"
"5153","-106.861869, 32.368943"
"5154","-106.861869, 32.368943"
"5155","-106.854108, 32.325935"
"5156","-106.854108, 32.325935"
"5157","-106.854108, 32.325935"
"5158","-105.564975, 36.408403"
"5159","-106.761905, 32.299427"
"5160","-104.466218, 32.111641"
"5161","-106.350719, 35.100205"
"5162","-105.968894, 32.945169"
"5163","-104.439333, 32.16725"
"5164","-104.440472, 32.1675"
"5165","-104.471083, 32.173555"
"5166","-104.47275, 32.166833"
"5167","-105.854366, 36.189166"
"5168","-103.206629, 34.415803"
"5169","-103.207054, 34.415883"
"5170","-103.179136, 34.411775"
"5171","-103.178272, 34.390681"
"5172","-103.178272, 34.390681"
"5173","-103.231189, 34.39065"
"5174","-103.231189, 34.39065"
"5175","-103.22705, 34.426406"
"5176","-103.187497, 34.431547"
"5177","-103.205864, 34.415836"
"5178","-103.179175, 34.411739"
"5179","-103.178272, 34.390681"
"5180","-103.231364, 34.390767"
"5181","-106.136536, 36.097362"
"5182","-106.136526, 36.093199"
"5183","-106.684002, 32.388792"
"5184","-104.346694, 32.324916"
"5185","-106.01898, 35.639636"
"5186","-104.264427, 32.426388"
"5187","-104.274861, 32.38425"
"5188","-104.346694, 32.324916"
"5189","-104.17725, 32.480555"
"5190","-104.065027, 32.501444"
"5191","-103.825222, 32.91575"
"5192","-103.131388, 32.717805"
"5193","-103.188555, 32.762611"
"5194","-103.158638, 32.741027"
"5195","-106.441972, 36.186388"
"5196","-103.189527, 32.76225"
"5197","-103.209083, 32.776916"
"5198","-103.18975, 32.762277"
"5199","-103.1225, 32.726416"
"5200","-103.126138, 32.704305"
"5201","-103.140005, 32.721889"
"5202","-103.137091, 32.693277"
"5203","-103.189377, 32.762613"
"5204","-103.190033, 32.762333"
"5205","-106.763318, 32.270433"
"5206","-105.673944, 33.424445"
"5207","-105.389666, 33.490055"
"5208","-105.389666, 33.490055"
"5209","-105.389666, 33.490055"
"5210","-105.704, 32.951472"
"5211","-103.133797, 33.879692"
"5212","-103.125616, 33.880133"
"5213","-103.13415, 33.879805"
"5214","-103.134055, 33.879833"
"5215","-106.859901, 32.292127"
"5216","-106.859657, 32.291718"
"5217","-106.859657, 32.291718"
"5218","-104.541786, 33.3206"
"5219","-104.600786, 33.396061"
"5220","-106.784306, 32.390972"
"5221","-105.88577, 35.906665"
"5222","-105.888076, 35.911137"
"5223","-105.88577, 35.906665"
"5224","-106.048523, 35.981524"
"5225","-106.047947, 35.981499"
"5226","-105.988078, 35.656197"
"5227","-105.772028, 32.954917"
"5228","-105.777166, 32.960305"
"5229","-104.369869, 33.195661"
"5230","-105.146655, 35.197802"
"5231","-105.146755, 35.197936"
"5232","-103.755722, 32.861388"
"5233","-106.840722, 36.231972"
"5234","-105.706416, 32.949666"
"5235","-105.709944, 32.955861"
"5236","-106.724773, 32.149197"
"5237","-106.724773, 32.149197"
"5238","-106.725061, 32.149167"
"5239","-106.725061, 32.149167"
"5240","-105.705083, 32.952167"
"5241","-105.703, 32.948306"
"5242","-105.706389, 32.950778"
"5243","-105.703694, 32.951333"
"5244","-105.703305, 32.950583"
"5245","-105.705166, 32.951166"
"5246","-105.703277, 32.949888"
"5247","-105.703222, 32.951027"
"5248","-107.786772, 32.334284"
"5249","-107.786772, 32.334284"
"5250","-107.786772, 32.334284"
"5251","-106.730879, 32.283064"
"5252","-106.716591, 32.287416"
"5253","-105.779572, 36.102413"
"5254","-103.087347, 34.426855"
"5255","-104.560647, 33.416933"
"5256","-104.560647, 33.416933"
"5257","-107.690967, 32.265056"
"5258","-107.690967, 32.265056"
"5259","-105.180447, 32.885177"
"5260","-106.750342, 35.686526"
"5261","-105.83862, 32.995042"
"5262","-105.903333, 32.973611"
"5263","-106.571333, 36.918972"
"5264","-103.318997, 34.869319"
"5265","-106.651378, 32.02355"
"5266","-103.200278, 32.69"
"5267","-103.20483, 32.692819"
"5268","-105.544694, 33.360889"
"5269","-105.54575, 33.359389"
"5270","-107.840278, 36.342222"
"5271","-105.488948, 35.408856"
"5272","-105.596233, 36.367359"
"5273","-105.655239, 36.362111"
"5274","-106.610836, 32.144547"
"5275","-108.298497, 32.72252"
"5276","-106.623348, 32.425495"
"5277","-106.604567, 32.423806"
"5278","-105.596706, 36.367286"
"5279","-107.221524, 33.204543"
"5280","-107.215128, 33.205839"
"5281","-105.596186, 36.367361"
"5282","-103.195488, 34.521341"
"5283","-105.625383, 36.401711"
"5284","-105.596138, 36.372311"
"5285","-105.591031, 36.375903"
"5286","-104.737527, 32.201125"
"5287","-104.737527, 32.201083"
"5288","-104.737527, 32.201111"
"5289","-104.737527, 32.201111"
"5290","-106.439139, 32.021"
"5291","-104.737527, 32.201111"
"5292","-104.691389, 32.203889"
"5293","-103.072447, 34.313689"
"5294","-104.69125, 32.203972"
"5295","-104.691472, 32.202861"
"5296","-104.691472, 32.202861"
"5297","-104.69125, 32.203028"
"5298","-104.697528, 32.245333"
"5299","-104.697528, 32.245333"
"5300","-104.696944, 32.245056"
"5301","-104.740416, 32.193944"
"5302","-104.74, 32.193888"
"5303","-104.7405, 32.193944"
"5304","-105.547836, 33.534019"
"5305","-105.548058, 33.534033"
"5306","-105.585874, 33.543663"
"5307","-105.623461, 33.525013"
"5308","-105.623688, 33.525005"
"5309","-105.668247, 35.010063"
"5310","-103.170992, 34.317814"
"5311","-103.152439, 34.319272"
"5312","-107.258844, 33.156855"
"5313","-107.287744, 33.118814"
"5314","-107.244019, 33.182722"
"5315","-103.132656, 34.399322"
"5316","-106.484303, 32.400935"
"5317","-105.90259, 35.809678"
"5318","-105.901242, 35.811055"
"5319","-105.90202, 35.810944"
"5320","-106.593366, 32.144484"
"5321","-108.57725, 33.962639"
"5322","-106.026472, 35.657889"
"5323","-106.027211, 35.657931"
"5324","-105.0657, 35.19684"
"5325","-106.104272, 35.594477"
"5326","-106.104111, 35.585361"
"5327","-106.098105, 35.58081"
"5328","-105.17256, 36.609033"
"5329","-104.993527, 36.622805"
"5330","-105.975578, 32.991781"
"5331","-105.975578, 32.991492"
"5332","-105.975578, 32.991492"
"5333","-105.975578, 32.991492"
"5334","-105.688611, 33.379917"
"5335","-105.667833, 33.418888"
"5336","-106.362794, 35.141369"
"5337","-107.856861, 34.153944"
"5338","-107.856861, 34.153944"
"5339","-107.686944, 36.801389"
"5340","-107.686944, 36.801389"
"5341","-107.676389, 36.808611"
"5342","-107.67807, 36.80807"
"5343","-104.3505, 33.166861"
"5344","-107.229381, 33.203464"
"5345","-105.981432, 32.796303"
"5346","-105.982518, 32.786512"
"5347","-107.203472, 33.225708"
"5348","-104.393597, 32.795647"
"5349","-104.413416, 32.770222"
"5350","-104.413694, 32.77025"
"5351","-104.413416, 32.770222"
"5352","-104.355111, 32.570583"
"5353","-104.355138, 32.570583"
"5354","-104.355111, 32.570583"
"5355","-104.355111, 32.570583"
"5356","-106.075028, 34.999278"
"5357","-107.67854, 36.81459"
"5358","-108.432778, 35.486944"
"5359","-108.42684, 35.48851"
"5360","-108.42658, 35.48854"
"5361","-106.615333, 35.222306"
"5362","-106.719069, 34.982697"
"5363","-103.284558, 32.512588"
"5364","-105.946938, 35.764917"
"5365","-105.946722, 35.764361"
"5366","-105.945049, 35.755612"
"5367","-105.947243, 35.75889"
"5368","-105.946056, 35.766278"
"5369","-106.804306, 35.884611"
"5370","-106.801139, 35.887917"
"5371","-105.977861, 32.973611"
"5372","-105.637, 33.417694"
"5373","-106.051011, 35.001002"
"5374","-106.051016, 35.000825"
"5375","-106.051225, 35.000861"
"5376","-106.0508, 35.000969"
"5377","-106.616672, 35.182599"
"5378","-106.616611, 35.182541"
"5379","-108.190156, 33.035089"
"5380","-108.190156, 33.035089"
"5381","-107.239134, 33.173459"
"5382","-104.73325, 32.809805"
"5383","-104.737055, 32.809694"
"5384","-107.306621, 32.894331"
"5385","-107.9361, 32.805205"
"5386","-106.772916, 34.690444"
"5387","-105.654066, 32.959993"
"5388","-107.309165, 32.909822"
"5389","-107.309151, 32.909822"
"5390","-107.309151, 32.909822"
"5391","-104.217061, 35.366475"
"5392","-104.198572, 35.366728"
"5393","-104.559411, 33.418319"
"5394","-104.559411, 33.418758"
"5395","-104.559411, 33.418319"
"5396","-104.560181, 33.418319"
"5397","-104.559678, 33.418881"
"5398","-104.559678, 33.418881"
"5399","-105.537111, 33.603833"
"5400","-104.455961, 33.298586"
"5401","-104.455961, 33.298586"
"5402","-106.195666, 35.085666"
"5403","-106.089666, 35.120666"
"5404","-109.004722, 35.396666"
"5405","-108.54889, 31.764131"
"5406","-108.538195, 31.761669"
"5407","-106.64684, 32.408"
"5408","-106.57249, 32.4275"
"5409","-105.930144, 32.976731"
"5410","-106.606222, 32.065333"
"5411","-104.481964, 33.330139"
"5412","-104.481952, 33.330316"
"5413","-106.734427, 32.111636"
"5414","-106.734427, 32.111636"
"5415","-106.79353, 32.366912"
"5416","-106.793551, 32.366942"
"5417","-103.799308, 35.147683"
"5418","-103.730251, 35.177598"
"5419","-103.818794, 35.177702"
"5420","-103.799308, 35.147683"
"5421","-103.729411, 35.178147"
"5422","-103.737666, 35.161522"
"5423","-104.567594, 33.257367"
"5424","-104.478864, 33.321561"
"5425","-104.47885, 33.324667"
"5426","-104.470378, 33.332239"
"5427","-104.467136, 33.328117"
"5428","-104.464547, 33.324458"
"5429","-106.344803, 32.400313"
"5430","-106.458329, 32.337361"
"5431","-106.484303, 32.386653"
"5432","-106.484303, 32.386653"
"5433","-106.484303, 32.386653"
"5434","-106.484303, 32.386653"
"5435","-106.458329, 32.337361"
"5436","-106.49832, 32.38947"
"5437","-106.500121, 32.384764"
"5438","-106.499829, 32.387499"
"5439","-106.468906, 32.374274"
"5440","-104.35025, 33.166666"
"5441","-106.006778, 35.649881"
"5442","-105.897958, 35.582284"
"5443","-105.889741, 35.536568"
"5444","-105.958876, 36.728656"
"5445","-105.958876, 36.728656"
"5446","-106.556371, 36.187337"
"5447","-105.999911, 35.627515"
"5448","-105.999911, 35.627515"
"5449","-105.999911, 35.627515"
"5450","-105.789599, 36.267384"
"5451","-105.560744, 36.387903"
"5452","-105.560744, 36.387903"
"5453","-105.560744, 36.387903"
"5454","-105.560744, 36.387903"
"5455","-105.505681, 36.379267"
"5456","-105.505681, 36.379267"
"5457","-105.505681, 36.379267"
"5458","-105.594689, 36.371444"
"5459","-105.594689, 36.371444"
"5460","-106.768166, 34.992999"
"5461","-105.580878, 36.391697"
"5462","-104.355111, 32.570583"
"5463","-105.606194, 33.424277"
"5464","-107.300128, 32.900076"
"5465","-105.684722, 33.41275"
"5466","-105.684672, 33.416042"
"5467","-105.572941, 33.544933"
"5468","-105.572417, 33.544861"
"5469","-105.572417, 33.544861"
"5470","-105.572417, 33.544861"
"5471","-106.091111, 33.330556"
"5472","-106.091111, 33.330556"
"5473","-106.008333, 33.344194"
"5474","-104.57843, 33.452417"
"5475","-104.365497, 33.001183"
"5476","-104.365527, 33.001"
"5477","-104.36525, 33.001111"
"5478","-106.484303, 32.386528"
"5479","-105.951903, 32.922911"
"5480","-105.952569, 32.922456"
"5481","-105.952569, 32.922456"
"5482","-105.939167, 32.951331"
"5483","-104.600797, 33.396886"
"5484","-104.514414, 33.36135"
"5485","-104.600786, 33.396061"
"5486","-104.600797, 33.396886"
"5487","-104.514414, 33.36135"
"5488","-104.533544, 33.377494"
"5489","-104.534572, 33.358864"
"5490","-104.541967, 33.361131"
"5491","-104.541342, 33.369428"
"5492","-104.584036, 33.395883"
"5493","-104.514492, 33.312172"
"5494","-104.514547, 33.31925"
"5495","-104.530928, 33.312039"
"5496","-104.532531, 33.319111"
"5497","-106.013355, 35.658864"
"5498","-106.012607, 35.658619"
"5499","-106.012733, 35.658619"
"5500","-106.012607, 35.659044"
"5501","-104.4125, 32.794611"
"5502","-104.412797, 32.79528"
"5503","-106.865945, 32.281094"
"5504","-105.936042, 32.930361"
"5505","-105.936042, 32.930361"
"5506","-106.810413, 32.389022"
"5507","-108.457667, 35.320083"
"5508","-106.887444, 32.306722"
"5509","-106.762475, 32.209288"
"5510","-106.662871, 32.11857"
"5511","-106.662871, 32.11857"
"5512","-106.662871, 32.11857"
"5513","-106.691696, 31.862602"
"5514","-106.691649, 31.862766"
"5515","-106.667167, 31.842167"
"5516","-105.382111, 35.835361"
"5517","-105.689804, 32.763314"
"5518","-106.238388, 34.8915"
"5519","-103.571972, 32.815194"
"5520","-103.569944, 32.820333"
"5521","-103.578166, 32.8145"
"5522","-103.557555, 32.818527"
"5523","-103.549888, 32.822972"
"5524","-103.553666, 32.820833"
"5525","-103.565875, 32.813258"
"5526","-103.582333, 32.783722"
"5527","-103.540194, 32.827347"
"5528","-103.321222, 34.402511"
"5529","-106.823188, 32.320685"
"5530","-105.565042, 36.408864"
"5531","-105.565027, 36.408888"
"5532","-105.564888, 36.40825"
"5533","-105.564975, 36.408403"
"5534","-105.565042, 36.408864"
"5535","-106.782112, 32.323502"
"5536","-103.330005, 34.395811"
"5537","-103.330005, 34.395811"
"5538","-103.330005, 34.395811"
"5539","-103.325813, 34.373"
"5540","-103.325856, 34.373119"
"5541","-107.961698, 32.839847"
"5542","-103.330336, 34.395736"
"5543","-103.336958, 34.412108"
"5544","-103.319411, 34.397402"
"5545","-103.325813, 34.373"
"5546","-103.330336, 34.395736"
"5547","-108.034274, 32.957758"
"5548","-103.336958, 34.412108"
"5549","-107.932223, 32.806919"
"5550","-108.188424, 33.035564"
"5551","-108.188424, 33.035564"
"5552","-108.186615, 33.036516"
"5553","-108.186615, 33.036516"
